ressort,url,initial_status,final_status,title,description,hreflang,canonical_url,uses_gsb
BMG,https://bund.de;,unavailable,unavailable,,,,,
BMG,https://camd-europe.eu,unavailable,unavailable,,,,,
BMG,https://cannabisagentur.de,302,200,Cannabisagentur – Medizinisches Cannabis,,,https://www.cannabisagentur.de/,False
BMG,https://corona-datenspende.de,301,200,Corona Data Donation Project | News & Analyses,News & Analysen zur Corona-Datenspende-App vom Robert Koch-Institut,"de, en-us",https://corona-datenspende.github.io/en/,False
BMG,https://daly.rki.de,301,200,Burden 2020 – RKI,,,,False
BMG,https://datenportal.bundesdrogenbeauftragter.de/,200,200,Start - Datenportal Sucht und Drogen des Beauftragten der Bundesregierung für Sucht- und Drogenfragen,"Das Datenportal stellt Daten zu Verbreitung, Behandlung und gesundheitliche Folgeschäden von Alkohol, Nikotin/Tabak, Cannabis, andere Substanzen sowie Verhaltenssüchte bereit.",,https://datenportal.bundesdrogenbeauftragter.de/,False
BMG,https://diabsurv.rki.de,302,200,Diabetes surveillance  -  Diabetes in Deutschland,"Webseite der Nationalen Diabetes-Surveillance in Deutschland. Die Diabetes-Surveillance am Robert Koch Institut liefert regelmäßige Informationen zum Krankheitsdynamik, Versorgungsqualität, Determinanten und Folgeerkrankungen von Diabetes mellitus.",,https://diabsurv.rki.de/Webs/Diabsurv/DE/startseite/startseite-node.html,True
BMG,https://diga.stage.krautsalad.com,401,401,,,,,
BMG,https://dimdi.de,unavailable,unavailable,,,,,
BMG,https://drks.de,307,200,BfArM  -  Deutsches Register Klinischer Studien (DRKS) ,,,https://www.bfarm.de/DE/Das-BfArM/Aufgaben/Deutsches-Register-Klinischer-Studien/_node.html,True
BMG,https://eGMS.de,unavailable,unavailable,,,,,
BMG,https://edoc.rki.de,200,200,edoc Startseite,,,,False
BMG,https://effo.rki.de,302,200,Effo  -  Homepage,Homepage,,https://effo.rki.de/EFFO/EN/Home/Homepage_node.html,True
BMG,https://ekos.rki.de,302,200,Ekos  -  Startseite,Homepage des deutschsprachigen Auftritts,,https://ekos.rki.de/Webs/Ekos/DE/startseite/startseite-node.html,True
BMG,https://emerge.rki.eu,302,200,EMERGE  -  EMERGE: Efficient response to highly dangerous and emerging pathogens at EU level,EMERGE: Efficient response to highly dangerous and emerging pathogens at EU level,,https://www.emerge.rki.eu/Emerge/EN/Home/Homepage_node.html,True
BMG,https://evsurv.rki.de,200,200,"
	EVSurv
",Daten zur Polio-Eradikation in Deutschland,,,False
BMG,https://forschungsdatenzentrum-gesundheit.de,unavailable,unavailable,,,,,
BMG,https://gbe.rki.de,302,200,GBE  -  Startseite,Die Webseite der Gesundheitsberichterstattung des Bundes stellt Daten zur gesundheitlichen Lage der Bevölkerung mit Schwerpunkt auf nichtübertragbare Erkrankungen und deren Einflussfaktoren in Form von Indikatoren und Publikationen zur Verfügung.,,https://www.gbe.rki.de/DE/Startseite/startseite_node.html,True
BMG,https://gesundheit-in-deutschland.de/de,200,200,"Herzlich willkommen bei ""Gesundheit in Deutschland"" | Gesundheit in Deutschland",,"en, de",https://gesundheit-in-deutschland.de/de,False
BMG,https://gohi.online,302,200,GOHI  -  Homepage,Homepage,,https://www.gohi.online/GOHI/EN/Home/Homepage_node.html,True
BMG,https://grippeweb.bund.de,200,200,GrippeWeb,,,,False
BMG,https://healthdatalab.de,unavailable,unavailable,,,,,
BMG,https://hma.eu,301,200,Heads of Medicines Agencies: About HMA,,"en-gb, bg-bg, hr-hr, cs-cz, da-dk, et-ee, fi-fi, nl-be, fr-fr, de-de, el-gr, hu-hu, is-is, it-it, lv-lv, lt-lt, mt-mt, nn-no, pl-pl, pt-pt, ro-ro, sk-sk, sl-sl, es-es, sv-se, x-default",https://www.hma.eu/about-hma.html,False
BMG,https://abvl.pei.de,unavailable,unavailable,,,,,
BMG,https://adressen.bzga.de,200,200,Startseite | Adressdatenbank,,,https://adressen.bzga.de/startseite,False
BMG,https://beratung.ins-netz-gehen.de,301,200,Online-Beratung für Jugendliche | Gesunde Mediennutzung   ,Online-Welt und das reale Leben in Balance bringen: Mit der Online-Beratung von Ins Netz gehen,,https://www.ins-netz-gehen.de/das-andere-leben/,False
BMG,https://beratung.organspende-info.de,301,401,,,,,
BMG,https://beratung.rauchfrei-info.de,301,200,Startseite : rauchfrei-info.de,,,https://www.rauchfrei-info.de/,False
BMG,https://grundgesund.bzga.de,200,200,Home - GrundGesund,,,https://grundgesund.bzga.de/,False
BMG,https://infodienst.bzga.de,200,200,InfoDienst,"Fundierte Angebote für im Bereich Gesundheitsförderung, Prävention und Aufklärung Tätige mit Materialien, Fachinformationen, Terminen, Newsletter und einer Übersicht der nationalen und internationalen Gesundheitstage",,https://infodienst.bzga.de/,False
